标题,价格,销量,店铺,地点,,,
【61开门红·旗舰新品 6期免息】Huawei/华为P30 Pro曲面屏超感光徕卡四摄变焦双景录像980芯片智能手机,"￥5,488.00",4.5万+人付款,华为官方旗舰店,广东 深圳,,,
【1-2日赠耳机】Xiaomi/小米 Redmi 红米Note7 大屏幕智能4800万老人手机新9官方旗舰店k20正品5学生note7pro,￥999.00,4.0万+人付款,小米官方旗舰店,北京,,,
【抢券低至4548元起】Apple/苹果 iPhone XR 全网通4G手机双卡双待 苹果iPhoneXR 苹果xr,"￥5,288.00",9.0万+人付款,苏宁易购官方旗舰店,江苏 南京,,,
【抢券低至8058元】Apple/苹果 iPhone Xs Max 256G 全网通4G手机双卡双待苹果iphonexsmax,"￥9,088.00",2.0万+人付款,苏宁易购官方旗舰店,江苏 南京,,,
【61开门红·旗舰新品 6期免息】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30,"￥3,988.00",4.0万+人付款,华为官方旗舰店,广东 深圳,,,
【新品首发 保价618】新品华为HONOR荣耀20全面屏超广角AI四摄麒麟980芯片智能手机正品官方旗舰手机i赢V20,"￥2,699.00",0人付款,荣耀官方旗舰店,广东 深圳,,,
【领券低至2399元】华为HONOR/荣耀V20新品全视屏麒麟980处理器4800万AI摄影智能游戏学生手机10官网,"￥2,699.00",1.0万+人付款,荣耀官方旗舰店,广东 深圳,,,
【6月1日至高直降300】vivo iQOO生而强悍高通骁龙855处理器水滴全面屏智能游戏正品手机官网 vivoiQOO iqoo,"￥2,798.00",1.5万+人付款,vivo官方旗舰店,广东 东莞,,,
【六期免息！6+128G赠无线充电宝】Xiaomi/小米小米9骁龙855全面屏索尼4800万拍照游戏手机官方旗舰redmi K20,"￥2,999.00",1.5万+人付款,小米官方旗舰店,北京,,,
【1-2日券后1499】Xiaomi/小米redmi note 7 pro 红米索尼4800万智能老年学生商务大电量手机k20官方旗舰店9,"￥1,599.00",2.5万+人付款,小米官方旗舰店,北京,,,
【12期免息赠智能手环】vivo X27 4800万广角夜景三摄8+256G大运存全网通正品智能4G手机vivoX27 x27 x23,"￥3,198.00",6500+人付款,vivo官方旗舰店,广东 东莞,,,
【6.1限时优惠400元 1799元起】OPPO R17全面屏拍照手机AI智能屏幕指纹美颜4G全网通学生旗舰正品oppor17,"￥1,999.00",5500+人付款,oppo官方旗舰店,广东 东莞,,,
直降300元 送哈曼音箱 手环 官方vivo IQOO新品vivoiqoo爱酷手机iqoo限量版iq00艾酷vivox23 x27 x30骁龙855,"￥2,798.00",1112人付款,京联通达数码旗舰店,北京,,,
【新色上市 6.1 0点预售】OPPO Reno opporeno全面屏正品官方旗舰新品全网通4800万超清拍照智能手机R15 R17,"￥2,999.00",4900人付款,oppo官方旗舰店,广东 东莞,,,
【新品上市】一加7Pro手机全新正品OnePlus7pro 骁龙855 一加七 6t 1+7T 一加7手机官方旗舰店官网 一加7pro,"￥4,579.00",1890人付款,一加创华威专卖店,广东 深圳,,,
【3期免息券后价2098元起】Meizu/魅族 16th骁龙845 超窄边框全面屏 屏下指纹解锁 双摄拍照旗舰手机,"￥2,298.00",2608人付款,魅族官方旗舰店,广东 珠海,,,
Apple/苹果 iPhone XS Max全网双卡手机iphonexs苹果xsmax苹果xr,"￥4,498.40",1222人付款,zqf794617369,广东 深圳,,,
Apple/苹果 iPhone XS Max 苹果xsmax iphone Xs美版有锁4G手机xr,"￥4,255.00",3993人付款,雅诺芬,广东 深圳,,,
vivo iQOO全新正品手机官网 vivoiqoo限量版 voviiqoo iq00骑士黑 x30 vivoiq 爱酷艾酷游戏手机骁龙855 bbk,"￥2,798.00",1081人付款,首佳誉数码专营店,广东 东莞,,,
现货【6期免息】Huawei/华为 nova 4手机官方旗舰店nova4e官网p30 pro新款降价mate20正品nova3i学生手机12,"￥2,499.00",1990人付款,京合旗舰店,安徽 合肥,,,
