,标题,价格,销量,店铺
2,【抢券低至4548元起】Apple/苹果 iPhone XR 全网通4G手机双卡双待 苹果iPhoneXR 苹果xr,5288.0,90000,苏宁易购官方旗舰店
307,【4G全网通】纽曼 M560老人机超长待机直板女款大屏大字大声移动电信版老年手机正品联通学生功能按键小手机,69.0,60000,创于佳讯数码专营店
0,【61开门红·旗舰新品 6期免息】Huawei/华为P30 Pro曲面屏超感光徕卡四摄变焦双景录像980芯片智能手机,5488.0,45000,华为官方旗舰店
983,Neken/尼凯恩 EN3正品4G全网通老人机超长待机三防军工直板老年手机大屏大字大声移动电信版学生按键女小手机,49.0,45000,尼凯恩旗舰店
4,【61开门红·旗舰新品 6期免息】Huawei/华为 P30全面屏超感光徕卡三摄变焦双景录像980芯片智能手机p30,3988.0,40000,华为官方旗舰店
1,【1-2日赠耳机】Xiaomi/小米 Redmi 红米Note7 大屏幕智能4800万老人手机新9官方旗舰店k20正品5学生note7pro,999.0,40000,小米官方旗舰店
112,【61开门红·64G购机直降150】Huawei/华为 畅享9 Plus 全面屏超清大屏四摄学生智能手机畅享9p,1249.0,30000,华为官方旗舰店
118,【6.1日赠耳机】Xiaomi/小米 Redmi 7 红米7 骁龙632八核智能拍照手机K20官方旗舰学生老人机note7pro红米6,799.0,30000,小米官方旗舰店
9,【1-2日券后1499】Xiaomi/小米redmi note 7 pro 红米索尼4800万智能老年学生商务大电量手机k20官方旗舰店9,1599.0,25000,小米官方旗舰店
114,【限时优惠200元】华为HONOR荣耀8X全面大屏幕指纹解锁智能游戏青春学生新手机老年人电话机官方网旗舰店,1199.0,25000,荣耀官方旗舰店
275,【6月1-2日32G低至599】Xiaomi/小米 红米6a智能老人学生青春拍照手机小米官方旗舰店正品双卡双待note7红米7,549.0,25000,小米官方旗舰店
672,全网通4G天语R7移动联通电信版男女超薄老人机超长待机正品按键直板老年手机大屏大字大声天翼功能小学生备用,68.9,25000,天语强宇专卖店
3,【抢券低至8058元】Apple/苹果 iPhone Xs Max 256G 全网通4G手机双卡双待苹果iphonexsmax,9088.0,20000,苏宁易购官方旗舰店
51,【抢券低至8058元】Apple/苹果 iPhone Xs Max 256G 全网通4G手机 双卡双待苹果iphonexsmax,9088.0,20000,苏宁易购官方旗舰店
166,【61开门红·64G买赠华为耳机】Huawei/华为 畅享9 64G 128G全面屏千元高清珍珠屏长续航正品智能游戏手机,1199.0,20000,华为官方旗舰店
271,【61开门红·购机直降150 下单立减100】Huawei/华为 畅享 8e 青春版 4G高清全面屏正品智能学生老人游戏手机,649.0,20000,华为官方旗舰店
522,纽曼 l6+老人机超长待机大屏大字大声直板按键移动电信版中老年手机学生正品儿童功能机女天翼三防备用小手机,69.0,20000,纽曼深圳专卖店
110,【抢券低至5448元】Apple/苹果 iPhone X 64G 全网通4G智能手机 苹果X 苹果10 iPhonex,5988.0,15000,苏宁易购官方旗舰店
8,【六期免息！6+128G赠无线充电宝】Xiaomi/小米小米9骁龙855全面屏索尼4800万拍照游戏手机官方旗舰redmi K20,2999.0,15000,小米官方旗舰店
