,标题,价格,销量,店铺,店铺信誉分,等级
317,当天发/6期免息/20重礼Huawei/华为 P30手机官方旗舰店正品 华为p30pro直降价/华为mate20pro/p20pro/nova4e,3988,1135,能良数码官方旗舰店,4.8545,不值得
198,【2+16G低至549】Xiaomi/小米 红米6a智能AI老人学生青春拍照手机官方旗舰店正品双卡双待,549,1687,小米官方旗舰店,4.87582,不值得
233,K-Touch/天语 I9超薄迷你智能卡片手机全网通4G袖珍学生男女超小全面屏网红小屏备用小手机电信新款抖音同款,449,1486,ktouch天语众鑫世纪专卖店,4.83219,不值得
340,【6期免息】Huawei/华为Mate 20 Pro曲面屏徕卡三摄麒麟980芯片华为官方旗舰正品手机,4899,1074,苏宁易购官方旗舰店,4.89433,不值得
54,【抢券至高省200】vivo Z1青春版全面屏智能双摄全网通4G官方旗舰店官网正品限量手机vivoz1 y73 u1 z3 z,949,5500,vivo官方旗舰店,4.88112,一般
286,抢券省400元 vivo Z3手机全新品 vivoz3 限量高配版 vivoz3i x23 z1 x21 x9s ×30vovi手机官方旗舰店官网bbk,1148,1238,vivo航鹰专卖店,4.91975,不值得
203,6期免息/优惠850元送礼当天发Huawei/华为 P30 Pro手机官方旗舰店正品p30pro降价mate20x官网直降nova4e/p20,5488,1672,同步飞扬数码专营店,4.88018,不值得
224,Philips/飞利浦 E107 直板手机 老人手机大字大声超长待机 老年机 移动商务学生备用机 老人机,79,1520,苏宁易购官方旗舰店,4.89433,不值得
105,【3期免息】Xiaomi/小米8 青春版全面屏智能拍照游戏手机学生商务9官方旗舰正品红米note7,1099,2989,苏宁易购官方旗舰店,4.89433,不值得
44,【61开门红·新品千元机】Huawei/华为畅享9e全面屏珍珠屏千元智能手机华为正品官方手机,999,6500,华为官方旗舰店,4.89257,一般
73,【32GB下单立减20元】华为HONOR/荣耀畅玩8A 6.09英寸珍珠全面屏青春智能手机官网新品正品学生官方旗舰店,799,4115,荣耀官方旗舰店,4.84742,一般
274,优惠850当天发6期免息/Huawei/华为 P30 Pro 手机官方旗舰店正品华为p30pro降价mate20x/p20直降官网nova4/4e,5488,1267,三际数码官方旗舰店,4.8495,不值得
177,官网OnePlus/一加7pro手机官方旗舰6一加手机7t全新品1+7T骁龙855,2999,1832,白开水的点燃方式,4.83692,不值得
138,【套餐一享好礼】华为HONOR/荣耀20i 3200万AI高像素自拍渐变色官方旗舰店全面屏学生游戏拍照手机,1599,2205,苏宁易购官方旗舰店,4.89433,不值得
