,标题,价格,销量,店铺,店铺信誉分,等级
244,官方Xiaomi/小米 Redmi 7红米7a新手机小米7x全面屏红米7pro正品,668,1443,heatlinda,4.80853,不值得 
248,降价当天发 Xiaomi/小米 Redmi Note 7新手机小金刚6红米note7pro,978,1410,品牌机批发店,4.78068,不值得 
117,【3期免息券后价2098元起】Meizu/魅族 16th骁龙845 超窄边框全面屏 屏下指纹解锁 双摄拍照旗舰手机,2298,2608,魅族官方旗舰店,4.81986,不值得 
322,【新款上市】OPPO A9 oppoa9手机全新机新款oppoa9手机限量超薄oppoa5手机 a7x r11oppor15x 0ppok1r9 0pp0a9,1399,1121,oppo平实专卖店,4.92993,不值得 
292,OUBOO Q98正品路虎三防智能手机全网通军工老年人机超长待机大声,369,1218,添富数码广场,4.90005,不值得 
35,【赠99元圈铁耳机】Xiaomi/小米 小米9SE骁龙712全面屏米9拍照游戏智能手机4800万三摄K20指纹8se红米Note7P,1999,9500,小米官方旗舰店,4.87582,一般
327,直降300元 送哈曼音箱 手环 官方vivo IQOO新品vivoiqoo爱酷手机iqoo限量版iq00艾酷vivox23 x27 x30骁龙855,2798,1112,京联通达数码旗舰店,4.87786,不值得 
1,【4G全网通】纽曼 M560老人机超长待机直板女款大屏大字大声移动电信版老年手机正品联通学生功能按键小手机,69,60000,创于佳讯数码专营店,4.87662,值得
92,创星（手机） Z9翻盖手机老人机超长待机电信版老年手机大字大声正品天翼儿童机诺基亚学生手机只可以打电话,118,3308,慕尚年华数码专营店,4.85493,一般
72,纽曼 R15超薄迷你卡片手机移动电信小学生手机女生男生非智能戒网瘾手机超长待机可爱儿童直板网红小手机正品,135,4267,纽曼世腾专卖店,4.82293,一般
308,小辣椒 V5金属迷你袖珍手机超长待机大字大声电信老年机男女款老人机直板按键儿童小手机学生备用机卡片手机,99,1162,友欣数码专营店,4.91539,不值得 
12,【抢券低至8058元】Apple/苹果 iPhone Xs Max 256G 全网通4G手机双卡双待苹果iphonexsmax,9088,20000,苏宁易购官方旗舰店,4.89433,值得
136,Apple/苹果 iPhone XR 苹果xr 6.1寸iphonexr双卡双待iphonex手机,3200,2213,大麦时尚馆,4.97354,不值得 
255,Apple/苹果 iPhone XR 苹果xr iphonexr xs max 双卡4G美版手机8X,3549,1368,中华淘购网店,4.95849,不值得 
302,OBXIN/欧博信OX2全网通4G智能全面屏6.5寸水滴面部解锁一体手机x,299,1191,华米企业店,4.87659,不值得 
98,正品DOOV/朵唯V33全面屏全网通4G老年智能手机大字大声大屏学生价老人机超长待机安卓电信版超薄备用双卡双待,299,3130,芝林数码专营店,4.96468,一般
320,纽曼V7儿童手机小学生超小超薄迷你可爱非智能男女款直板正品老人机汽车跑车移动电信版戒网备用卡片网红手机,75,1130,炜广天成数码专营店,4.83138,不值得 
132,官方Xiaomi/小米 redmi note 7 pro新手机a红米Note7Pro小金刚k20,1478,2241,品牌机批发店,4.78068,不值得 
137,【12期免息赠手环】vivo S1pro 4800万广角夜景三摄全面屏全网通智能4G限量版官方手机vivos1 s1 X27 iqoo s,2498,2210,vivo官方旗舰店,4.88112,不值得 
259,Samsung/三星 Galaxy S10+ SM-G9750 S10e港版手机港行联保s10e,4098,1356,蘑菇家的木耳,4.95522,不值得 
318,Apple/苹果 iPhone XR 国行港版苹果 iphonexr手机XR美版有锁XS,3399,1135,小唐1688,4.86347,不值得 
33,纽曼 L8S军工三防老人机超长待机大字大声大屏老年手机移动电信版老人手机正品学生女款功能按键直板小备用机,58,10000,深圳易乐购数码专营店,4.84263,值得
175,【 3期免息】OPPO A5全面屏AI双摄美颜长续航手机官方正品旗舰店oppoa,799,1846,苏宁易购官方旗舰店,4.89433,不值得 
28,【6.1限时优惠300元 1099元起】OPPO K1屏幕指纹全面屏拍照4G智能手机正品学生全网通官方游戏旗舰oppok1,1199,10000,oppo官方旗舰店,4.85593,值得
130,【6.1下单立减50】honor/荣耀 畅玩8C全网通智能手机官网全新正品学生官方旗舰店性能续航学生老人拍照手机,899,2328,苏宁易购官方旗舰店,4.89433,不值得 
181,Philips/飞利浦 E188A真三防户外手机老人手机军工品质超强防水超长待机大字大声大屏老年机持久续航防摔防尘,379,1808,伟业恒通数码专营店,4.9684,不值得 
234,当天发现货送无线充 HUAWEI HUAWEI P30 PRO官方手机p30pro直降价,3399,1482,品牌机批发店,4.78068,不值得 
26,【6月1日享三期免息】realme X 索尼4800万 升降全面屏 VOOC 闪充 3.0 全网通双卡双待正品智能手机,1499,10000,realme官方旗舰店,4.8336,值得
101,Swopy/索品 S1老人机超长待机直板按键女款老年手机大屏大字大声移动电信版老人手机正品学生功能备用小手机,49,3089,索品数码专营店,4.87346,一般
76,Philips/飞利浦 E163K 老人机超长待机直板按键大屏大字大声移动联通2G老年手机军工女款小学生迷你备用机,129,3939,飞利浦官方旗舰店,4.87051,一般
250,vivi v15刘海屏智能手机正品全网通5G网络学生价游戏全新超薄手机,488,1402,噼噼啪啪的哈,4.89153,不值得 
57,Apple/苹果 iPhone XS Max苹果xs max苹果xr美版有锁4G双卡手机8X,4355.01,5000,中华淘购网店,4.95849,一般
17,【抢券低至5448元】Apple/苹果 iPhone X 64G 全网通4G智能手机 苹果X 苹果10 iPhonex,5988,15000,苏宁易购官方旗舰店,4.89433,值得
